island ,location,location ,top ,bottem ,rotation
Jura,55.85145,-6.00837,391,252,290
Jura,55.92048,-5.99801,357,248,295
north outerheb,57.97809,-6.81919,572,246,95
Rum,56.9817,-6.30617,589,240,280
north outerheb,57.96094,-6.56603,445,229,100
north outerheb,58.00041,-6.8699,355,225,315
Skye,57.22063,-6.0694,656,209,130
north outerheb,58.01681,-6.97932,442,207,350
South outerheb,57.2735,-7.29267,297,194,310
South outerheb,57.30209,-7.25661,416,176,335
north outerheb,57.92594,-6.81024,411,175,265
north outerheb,57.92726,-6.77946,424,170,105
Mull,56.43284,-5.97656,816,147,70
South outerheb,57.28099,-7.27321,299,144,120
north outerheb,57.77079,-6.96243,390,138,10
north outerheb,58.10624,-7.0144,390,128,150
Orkney,58.91619,-3.38896,337,120,5
Orkney,58.89081,-3.33331,459,72,150
