island ,location,location ,top ,bottem ,rotation
Skye,57.23985,-5.98942,568,381,5
Mull,56.41602,-5.92553,454,380,90
Skye,57.22953,-6.25512,764,376,275
Rum,57.00002,-6.39691,511,372,170
Skye,57.20024,-6.19544,643,361,95
Rum,56.96989,-6.32495,659,347,235
Rum,56.98018,-6.27229,602,346,90
north outerheb,57.98966,-6.9715,466,338,160
arran ,55.66155,-5.33693,642,335,335
Rum,57.00751,-6.40312,525,324,335
Rum,56.96804,-6.27964,484,313,85
Skye,57.65223,-6.28122,460,306,350
Mull,56.44951,-5.99823,702,306,330
Skye,57.51875,-6.19862,491,294,350
Skye,57.22973,-5.98412,601,291,130
Rum,56.99686,-6.30172,466,283,20
north outerheb,58.12398,-7.01209,370,282,80
Rum,57.01098,-6.37931,494,269,85
Mull,56.44468,-5.76363,491,263,110
Skye,57.23719,-6.19614,447,258,205
Skye,57.25807,-6.18795,530,255,35
