island ,location,location ,top ,bottem ,rotation
Skye,57.20199,-6.22142,863,698,180
Skye,57.25232,-6.19917,826,597,50
Mull,56.42967,-6.0105,854,584,355
Skye,57.23148,-6.24253,829,572,295
Skye,57.20974,-6.21223,800,568,40
Skye,57.20762,-6.23408,843,566,45
arran ,55.6312,-5.18641,743,554,130
arran ,55.61947,-5.23639,792,525,140
arran ,55.63057,-5.24162,627,492,335
north outerheb,57.97045,-6.82936,708,468,30
Skye,57.24565,-5.70831,581,457,335
arran ,55.65847,-5.23631,859,451,340
Skye,57.23704,-6.23133,809,443,320
Skye,57.54122,-6.22427,543,428,70
Mull,56.45661,-5.75694,697,420,75
Skye,57.21481,-6.08186,537,419,90
Skye,57.25136,-6.12752,629,413,10
Skye,57.25917,-6.19979,611,409,65
arran ,55.62414,-5.22981,595,398,50
north outerheb,57.99132,-6.9416,589,387,290
