island ,location,location ,top ,bottem ,rotation
arran ,55.6312,-5.18641,743,554,130
arran ,55.65847,-5.23631,859,451,340
arran ,55.66155,-5.33693,642,335,335
arran ,55.62414,-5.22981,595,398,50
arran ,55.61947,-5.23639,792,525,140
arran ,55.63057,-5.24162,627,492,335
Jura,55.85145,-6.00837,391,252,290
Jura,55.92048,-5.99801,357,248,295
Mull,56.44468,-5.76363,491,263,110
Mull,56.45661,-5.75694,697,420,75
Mull,56.44951,-5.99823,702,306,330
Mull,56.41602,-5.92553,454,380,90
Mull,56.42967,-6.0105,854,584,355
Mull,56.43284,-5.97656,816,147,70
Rum,57.01098,-6.37931,494,269,85
Rum,57.00002,-6.39691,511,372,170
Rum,57.00751,-6.40312,525,324,335
Rum,56.96989,-6.32495,659,347,235
Rum,56.99686,-6.30172,466,283,20
Rum,56.9817,-6.30617,589,240,280
Rum,56.98018,-6.27229,602,346,90
Rum,56.96804,-6.27964,484,313,85
Orkney,58.91619,-3.38896,337,120,5
Orkney,58.89081,-3.33331,459,72,150
South outerheb,57.2735,-7.29267,297,194,310
South outerheb,57.28099,-7.27321,299,144,120
South outerheb,57.30209,-7.25661,416,176,335
north outerheb,57.77079,-6.96243,390,138,10
north outerheb,57.96094,-6.56603,445,229,100
north outerheb,58.10624,-7.0144,390,128,150
north outerheb,58.12398,-7.01209,370,282,80
north outerheb,58.01681,-6.97932,442,207,350
north outerheb,57.98966,-6.9715,466,338,160
north outerheb,57.99132,-6.9416,589,387,290
north outerheb,58.00041,-6.8699,355,225,315
north outerheb,57.97045,-6.82936,708,468,30
north outerheb,57.97809,-6.81919,572,246,95
north outerheb,57.92594,-6.81024,411,175,265
north outerheb,57.92726,-6.77946,424,170,105
Skye,57.24565,-5.70831,581,457,335
Skye,57.23985,-5.98942,568,381,5
Skye,57.22973,-5.98412,601,291,130
Skye,57.25232,-6.19917,826,597,50
Skye,57.25807,-6.18795,530,255,35
Skye,57.25917,-6.19979,611,409,65
Skye,57.23719,-6.19614,447,258,205
Skye,57.23704,-6.23133,809,443,320
Skye,57.20199,-6.22142,863,698,180
Skye,57.20024,-6.19544,643,361,95
Skye,57.20974,-6.21223,800,568,40
Skye,57.20762,-6.23408,843,566,45
Skye,57.23148,-6.24253,829,572,295
Skye,57.22953,-6.25512,764,376,275
Skye,57.25136,-6.12752,629,413,10
Skye,57.22063,-6.0694,656,209,130
Skye,57.51875,-6.19862,491,294,350
Skye,57.54122,-6.22427,543,428,70
Skye,57.65223,-6.28122,460,306,350
Skye,57.21481,-6.08186,537,419,90
