island ,location,location ,top ,bottem ,rotation
Skye,57.24565,-5.70831,581,457,335
Skye,57.23985,-5.98942,568,381,5
Skye,57.22973,-5.98412,601,291,130
Skye,57.25232,-6.19917,826,597,50
Skye,57.25807,-6.18795,530,255,35
Skye,57.25917,-6.19979,611,409,65
Skye,57.23719,-6.19614,447,258,205
Skye,57.23704,-6.23133,809,443,320
Skye,57.20199,-6.22142,863,698,180
Skye,57.20024,-6.19544,643,361,95
Skye,57.20974,-6.21223,800,568,40
Skye,57.20762,-6.23408,843,566,45
Skye,57.23148,-6.24253,829,572,295
Skye,57.22953,-6.25512,764,376,275
Skye,57.25136,-6.12752,629,413,10
Skye,57.22063,-6.0694,656,209,130
Skye,57.51875,-6.19862,491,294,350
Skye,57.54122,-6.22427,543,428,70
Skye,57.65223,-6.28122,460,306,350
Skye,57.21481,-6.08186,537,419,90
