island ,location,location ,top ,bottem ,rotation
north outerheb,57.77079,-6.96243,390,138,10
north outerheb,57.96094,-6.56603,445,229,100
north outerheb,58.10624,-7.0144,390,128,150
north outerheb,58.12398,-7.01209,370,282,80
north outerheb,58.01681,-6.97932,442,207,350
north outerheb,57.98966,-6.9715,466,338,160
north outerheb,57.99132,-6.9416,589,387,290
north outerheb,58.00041,-6.8699,355,225,315
north outerheb,57.97045,-6.82936,708,468,30
north outerheb,57.97809,-6.81919,572,246,95
north outerheb,57.92594,-6.81024,411,175,265
north outerheb,57.92726,-6.77946,424,170,105
